tconst,directors,writers
tt0010323,nm0927468,"nm0562346,nm0417917"
tt0012349,nm0000122,nm0000122
tt0013442,nm0003638,"nm0301961,nm0831290"
tt0015324,nm0000036,"nm0369841,nm0593477,nm0115669"
tt0015864,nm0000122,nm0000122
tt0017136,nm0000485,"nm0902376,nm0000485"
tt0017925,"nm0115669,nm0000036","nm0000036,nm0115669,nm0090213,nm0807667,nm0685904,nm0809548"
tt0018455,nm0003638,"nm0562346,nm0837183,nm0385012,nm0129721"
tt0018773,nm0000122,nm0000122
tt0019254,nm0003433,"nm0217865,nm0003433"
tt0020629,nm0587277,"nm0718871,nm0027173,nm0007973,nm0028636,nm0837989,nm0031033,nm0587277"
tt0021749,nm0000122,"nm0000122,nm0139714,nm0188357"
tt0022100,nm0000485,"nm0902376,nm0000485,nm0414825"
tt0025316,nm0001008,"nm0728307,nm0011343"
tt0027977,nm0000122,nm0000122
tt0028950,nm0719756,"nm0816458,nm0719756"
tt0031381,"nm0281808,nm0002030,nm0939992","nm0593565,nm0397608,nm0308177,nm0372942,nm0842485,nm0886668"
tt0031679,nm0001008,"nm0118227,nm0287931,nm0175333"
tt0032138,"nm0896542,nm0281808","nm0486538,nm0753249,nm0941138,nm0000875,nm0006085,nm0106505,nm0134284,nm0276252,nm0355095,nm0361971,nm0388755,nm0481618,nm0536941,nm0542534,nm0591774,nm0621790,nm0685265,nm0780833,nm0799015"
tt0032551,nm0000406,"nm0425913,nm0825705"
tt0032553,nm0000122,nm0000122
tt0032976,nm0000033,"nm0238898,nm0792845,nm0365661,nm0531878,nm0389580"
tt0033045,nm0523932,"nm0710723,nm0529450,nm0372942"
tt0033467,nm0000080,"nm0542534,nm0000080,nm0002144,nm0219670,nm0448809"
tt0033870,nm0001379,"nm0001379,nm0358591"
tt0034583,nm0002031,"nm0258493,nm0258525,nm0462321,nm0122417,nm0019706,nm0732452"
tt0035446,nm0523932,"nm0501872,nm0562372,nm0523932"
tt0036775,nm0000697,"nm0000697,nm0151452,nm0128906"
tt0036868,nm0943758,"nm0792845,nm0437969"
tt0037558,nm0000180,"nm0002021,nm0369743,nm0000180,nm0623768"
tt0038650,nm0001008,"nm0329304,nm0352443,nm0001008,nm0842485,nm0827821,nm0933858"
tt0038890,nm0744023,"nm0024847,nm0000019,nm0744023,nm0175924"
tt0039689,nm0869664,"nm0537784,nm0128906,nm0272045"
tt0040522,nm0001120,"nm0953790,nm0059030,nm0080755,nm0147599,nm0001120,nm0290000,nm0315657,nm0346291"
tt0040725,"nm0003836,nm0696247","nm0026153,nm0696247,nm0935773,nm0003836"
tt0040897,nm0001379,"nm0001379,nm0871252"
tt0041546,nm0357607,"nm0395170,nm0357607,nm0226538,nm0593867"
tt0041959,nm0715346,"nm0001294,nm0000080,nm0466099,nm0715346"
tt0042041,nm0909825,"nm0324578,nm0730850,nm0446132"
tt0042192,nm0000581,"nm0000581,nm0650581"
tt0042876,nm0000041,"nm0015611,nm0000041,nm0368074"
tt0043014,nm0000697,"nm0102818,nm0000697,nm0551261"
tt0043338,nm0000697,"nm0000697,nm0760488,nm0628305,nm0221528"
tt0044706,nm0003593,"nm0286025,nm0192356"
tt0044741,nm0000041,"nm0000041,nm0368074,nm0644823"
tt0045152,"nm0002045,nm0000037","nm0173679,nm0337582"
tt0045274,nm0001120,nm0953790
tt0046250,nm0943758,"nm0874308,nm0402848,nm0226538"
tt0046268,nm0167241,"nm1064118,nm0167241,nm0350823"
tt0046359,nm0000697,"nm0000697,nm0089637,nm0079654,nm0874522"
tt0046438,nm0654868,"nm0633792,nm0654868"
tt0046911,nm0167241,"nm0092267,nm0092268,nm0167241,nm0350823,nm0557510,nm0340190"
tt0046912,nm0000033,nm0461425
tt0047296,nm0001415,"nm0775977,nm0425711,nm0802563"
tt0047396,nm0000033,"nm0371088,nm0941280"
tt0047478,nm0000041,"nm0000041,nm0368074,nm0644823"
tt0047528,nm0000019,"nm0000019,nm0684083,nm0280919"
tt0048021,nm0202088,"nm0494138,nm0202088,nm0923941"
tt0048424,nm0001452,"nm0344181,nm0012938,nm0001452"
tt0048473,nm0006249,"nm0051808,nm0006249"
tt0050083,nm0001486,nm0741627
tt0050212,nm0000180,"nm0099541,nm0286025,nm0933858"
tt0050613,nm0000041,"nm0644823,nm0368074,nm0452878,nm0000041,nm0000636"
tt0050783,nm0000019,"nm0000019,nm0280919,nm0684083,nm0001596,nm0740021"
tt0050825,nm0000040,"nm0000040,nm0932229,nm0860292,nm0167767"
tt0050976,nm0000005,nm0000005
tt0050986,nm0000005,nm0000005
tt0051036,nm0533241,"nm0644048,nm0499626,nm0533241"
tt0051201,nm0000697,"nm0002005,nm0000697,nm0475823,nm0546140"
tt0051808,nm0000041,"nm0452878,nm0644823,nm0368074,nm0000041"
tt0052311,nm0000080,"nm0000080,nm0557767,nm0168759,nm0597574"
tt0052357,nm0000033,"nm0178785,nm0853138,nm0092267,nm0092268,nm0027173"
tt0052561,nm0695937,"nm0562606,nm0871261"
tt0052618,nm0943758,"nm0908753,nm0876562,nm0000683,nm0027173,nm0067103,nm0296737"
tt0053125,nm0000033,nm0499626
