tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
tt0010323,movie,The Cabinet of Dr. Caligari,Das Cabinet des Dr. Caligari,0,1920,\N,76,"Horror,Mystery,Thriller"
tt0012349,movie,The Kid,The Kid,0,1921,\N,68,"Comedy,Drama,Family"
tt0013442,movie,Nosferatu,"Nosferatu, eine Symphonie des Grauens",0,1922,\N,94,"Fantasy,Horror"
tt0015324,movie,Sherlock Jr.,Sherlock Jr.,0,1924,\N,45,"Action,Comedy,Romance"
tt0015864,movie,The Gold Rush,The Gold Rush,0,1925,\N,95,"Adventure,Comedy,Drama"
tt0017136,movie,Metropolis,Metropolis,0,1927,\N,153,"Drama,Sci-Fi"
tt0017925,movie,The General,The General,0,1926,\N,78,"Action,Adventure,Comedy"
tt0018455,movie,Sunrise,Sunrise: A Song of Two Humans,0,1927,\N,94,"Drama,Romance"
tt0018773,movie,The Circus,The Circus,0,1928,\N,72,"Comedy,Family,Romance"
tt0019254,movie,The Passion of Joan of Arc,La passion de Jeanne d'Arc,0,1928,\N,110,"Biography,Drama,History"
tt0020629,movie,All Quiet on the Western Front,All Quiet on the Western Front,0,1930,\N,152,"Drama,War"
tt0021749,movie,City Lights,City Lights,0,1931,\N,87,"Comedy,Drama,Romance"
tt0022100,movie,M,M - Eine Stadt sucht einen Mörder,0,1931,\N,117,"Crime,Mystery,Thriller"
tt0025316,movie,It Happened One Night,It Happened One Night,0,1934,\N,105,"Comedy,Romance"
tt0027977,movie,Modern Times,Modern Times,0,1936,\N,87,"Comedy,Drama,Romance"
tt0028950,movie,The Grand Illusion,La grande illusion,0,1937,\N,113,"Drama,War"
tt0031381,movie,Gone with the Wind,Gone with the Wind,0,1939,\N,238,"Drama,Romance,War"
tt0031679,movie,Mr. Smith Goes to Washington,Mr. Smith Goes to Washington,0,1939,\N,129,"Comedy,Drama"
tt0032138,movie,The Wizard of Oz,The Wizard of Oz,0,1939,\N,102,"Adventure,Family,Fantasy"
tt0032551,movie,The Grapes of Wrath,The Grapes of Wrath,0,1940,\N,129,Drama
tt0032553,movie,The Great Dictator,The Great Dictator,0,1940,\N,125,"Comedy,Drama,War"
tt0032976,movie,Rebecca,Rebecca,0,1940,\N,130,"Drama,Film-Noir,Mystery"
tt0033045,movie,The Shop Around the Corner,The Shop Around the Corner,0,1940,\N,99,"Comedy,Drama,Romance"
tt0033467,movie,Citizen Kane,Citizen Kane,0,1941,\N,119,"Drama,Mystery"
tt0033870,movie,The Maltese Falcon,The Maltese Falcon,0,1941,\N,100,"Crime,Film-Noir,Mystery"
tt0034583,movie,Casablanca,Casablanca,0,1942,\N,102,"Drama,Romance,War"
tt0035446,movie,To Be or Not to Be,To Be or Not to Be,0,1942,\N,99,"Comedy,Romance,War"
tt0036775,movie,Double Indemnity,Double Indemnity,0,1944,\N,107,"Crime,Drama,Film-Noir"
tt0036868,movie,The Best Years of Our Lives,The Best Years of Our Lives,0,1946,\N,170,"Drama,Romance,War"
tt0037558,movie,Brief Encounter,Brief Encounter,0,1945,\N,86,"Drama,Romance"
tt0038650,movie,It's a Wonderful Life,It's a Wonderful Life,0,1946,\N,130,"Drama,Family,Fantasy"
tt0038890,movie,"Rome, Open City",Roma città aperta,0,1945,\N,103,"Drama,Thriller,War"
tt0039689,movie,Out of the Past,Out of the Past,0,1947,\N,97,"Crime,Drama,Film-Noir"
tt0040522,movie,Bicycle Thieves,Ladri di biciclette,0,1948,\N,89,Drama
tt0040725,movie,The Red Shoes,The Red Shoes,0,1948,\N,135,"Drama,Music,Romance"
tt0040897,movie,The Treasure of the Sierra Madre,The Treasure of the Sierra Madre,0,1948,\N,126,"Adventure,Drama,Western"
tt0041546,movie,Kind Hearts and Coronets,Kind Hearts and Coronets,0,1949,\N,106,"Comedy,Crime"
tt0041959,movie,The Third Man,The Third Man,0,1949,\N,104,"Film-Noir,Mystery,Thriller"
tt0042041,movie,White Heat,White Heat,0,1949,\N,114,"Action,Crime,Drama"
tt0042192,movie,All About Eve,All About Eve,0,1950,\N,138,Drama
tt0042876,movie,Rashomon,Rashômon,0,1950,\N,88,"Crime,Drama,Mystery"
tt0043014,movie,Sunset Blvd.,Sunset Blvd.,0,1950,\N,110,"Drama,Film-Noir"
tt0043338,movie,Ace in the Hole,Ace in the Hole,0,1951,\N,111,"Drama,Film-Noir"
tt0044706,movie,High Noon,High Noon,0,1952,\N,85,"Drama,Thriller,Western"
tt0044741,movie,Ikiru,Ikiru,0,1952,\N,143,Drama
tt0045152,movie,Singin' in the Rain,Singin' in the Rain,0,1952,\N,103,"Comedy,Musical,Romance"
tt0045274,movie,Umberto D.,Umberto D.,0,1952,\N,89,Drama
tt0046250,movie,Roman Holiday,Roman Holiday,0,1953,\N,118,"Comedy,Romance"
tt0046268,movie,The Wages of Fear,Le salaire de la peur,0,1953,\N,131,"Adventure,Drama,Thriller"
tt0046359,movie,Stalag 17,Stalag 17,0,1953,\N,120,"Comedy,Drama,War"
tt0046438,movie,Tokyo Story,Tôkyô monogatari,0,1953,\N,136,Drama
tt0046911,movie,Diabolique,Les diaboliques,0,1955,\N,117,"Crime,Drama,Horror"
tt0046912,movie,Dial M for Murder,Dial M for Murder,0,1954,\N,105,"Crime,Thriller"
tt0047296,movie,On the Waterfront,On the Waterfront,0,1954,\N,108,"Crime,Drama,Thriller"
tt0047396,movie,Rear Window,Rear Window,0,1954,\N,112,"Mystery,Thriller"
tt0047478,movie,Seven Samurai,Shichinin no samurai,0,1954,\N,207,"Action,Drama"
tt0047528,movie,La strada,La strada,0,1954,\N,108,Drama
tt0048021,movie,Rififi,Du rififi chez les hommes,0,1955,\N,118,"Crime,Drama,Thriller"
tt0048424,movie,The Night of the Hunter,The Night of the Hunter,0,1955,\N,92,"Crime,Drama,Film-Noir"
tt0048473,movie,Pather Panchali,Pather Panchali,0,1955,\N,125,Drama
tt0050083,movie,12 Angry Men,12 Angry Men,0,1957,\N,96,"Crime,Drama"
tt0050212,movie,The Bridge on the River Kwai,The Bridge on the River Kwai,0,1957,\N,161,"Adventure,Drama,War"
tt0050613,movie,Throne of Blood,Kumonosu-jô,0,1957,\N,110,Drama
tt0050783,movie,Nights of Cabiria,Le notti di Cabiria,0,1957,\N,110,Drama
tt0050825,movie,Paths of Glory,Paths of Glory,0,1957,\N,88,"Drama,War"
tt0050976,movie,The Seventh Seal,Det sjunde inseglet,0,1957,\N,96,"Drama,Fantasy"
