tconst,primaryTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes
tt0010323,The Cabinet of Dr. Caligari,0,1920,76,"Horror,Mystery,Thriller",8.0,68328
tt0012349,The Kid,0,1921,68,"Comedy,Drama,Family",8.2,132092
tt0013442,Nosferatu,0,1922,94,"Fantasy,Horror",7.9,103056
tt0015324,Sherlock Jr.,0,1924,45,"Action,Comedy,Romance",8.2,54640
tt0015864,The Gold Rush,0,1925,95,"Adventure,Comedy,Drama",8.1,116287
tt0017136,Metropolis,0,1927,153,"Drama,Sci-Fi",8.3,181651
tt0017925,The General,0,1926,78,"Action,Adventure,Comedy",8.1,96062
tt0018455,Sunrise,0,1927,94,"Drama,Romance",8.1,53047
tt0018773,The Circus,0,1928,72,"Comedy,Family,Romance",8.1,35394
tt0019254,The Passion of Joan of Arc,0,1928,110,"Biography,Drama,History",8.1,58927
tt0020629,All Quiet on the Western Front,0,1930,152,"Drama,War",8.1,66442
tt0021749,City Lights,0,1931,87,"Comedy,Drama,Romance",8.5,192216
tt0022100,M,0,1931,117,"Crime,Mystery,Thriller",8.3,165063
tt0025316,It Happened One Night,0,1934,105,"Comedy,Romance",8.1,109532
tt0027977,Modern Times,0,1936,87,"Comedy,Drama,Romance",8.5,253834
tt0028950,The Grand Illusion,0,1937,113,"Drama,War",8.1,38233
tt0031381,Gone with the Wind,0,1939,238,"Drama,Romance,War",8.2,327830
tt0031679,Mr. Smith Goes to Washington,0,1939,129,"Comedy,Drama",8.1,119451
tt0032138,The Wizard of Oz,0,1939,102,"Adventure,Family,Fantasy",8.1,418594
tt0032551,The Grapes of Wrath,0,1940,129,Drama,8.1,98071
tt0032553,The Great Dictator,0,1940,125,"Comedy,Drama,War",8.4,233059
tt0032976,Rebecca,0,1940,130,"Drama,Film-Noir,Mystery",8.1,143672
tt0033045,The Shop Around the Corner,0,1940,99,"Comedy,Drama,Romance",8.0,36435
tt0033467,Citizen Kane,0,1941,119,"Drama,Mystery",8.3,457974
tt0033870,The Maltese Falcon,0,1941,100,"Crime,Film-Noir,Mystery",8.0,164216
