nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
nm0000002,Lauren Bacall,1924,2014,"actress,soundtrack","tt0075213,tt0037382,tt0117057,tt0038355"
nm0000004,John Belushi,1949,1982,"actor,soundtrack,writer","tt0080455,tt0072562,tt0077975,tt0078723"
nm0000005,Ingmar Bergman,1918,2007,"writer,director,actor","tt0069467,tt0050976,tt0083922,tt0050986"
nm0000006,Ingrid Bergman,1915,1982,"actress,soundtrack,producer","tt0034583,tt0036855,tt0038109,tt0038787"
nm0000007,Humphrey Bogart,1899,1957,"actor,soundtrack,producer","tt0034583,tt0043265,tt0042593,tt0037382"
nm0000008,Marlon Brando,1924,2004,"actor,soundtrack,director","tt0070849,tt0078788,tt0047296,tt0068646"
nm0000009,Richard Burton,1925,1984,"actor,soundtrack,producer","tt0059749,tt0087803,tt0061184,tt0057877"
nm0000010,James Cagney,1899,1986,"actor,soundtrack,director","tt0042041,tt0029870,tt0031867,tt0035575"
nm0000011,Gary Cooper,1901,1961,"actor,soundtrack,stunts","tt0027996,tt0044706,tt0035896,tt0034167"
nm0000012,Bette Davis,1908,1989,"actress,soundtrack,make_up_department","tt0042192,tt0056687,tt0031210,tt0035140"
nm0000016,Georges Delerue,1925,1992,"composer,soundtrack,music_department","tt0096320,tt8847712,tt0091763,tt0069946"
nm0000017,Marlene Dietrich,1901,1992,"soundtrack,actress,music_department","tt0052311,tt0055031,tt0051201,tt0021156"
nm0000018,Kirk Douglas,1916,2020,"actor,producer,soundtrack","tt0050825,tt0049456,tt0043465,tt0054331"
nm0000019,Federico Fellini,1920,1993,"writer,director,actor","tt0056801,tt0047528,tt0050783,tt0071129"
nm0000020,Henry Fonda,1905,1982,"actor,producer,soundtrack","tt0051207,tt0050083,tt0082846,tt0032551"
nm0000021,Joan Fontaine,1917,2013,"actress,soundtrack,producer","tt0032976,tt0036969,tt0035751,tt0034248"
nm0000022,Clark Gable,1901,1960,"actor,soundtrack,producer","tt0023382,tt0026752,tt0031381,tt0025316"
nm0000023,Judy Garland,1922,1969,"soundtrack,actress","tt0032138,tt0047522,tt0055031,tt0037059"
nm0000024,John Gielgud,1904,2000,"actor,writer,director","tt0045943,tt0117631,tt0082031,tt0071877"
nm0000025,Jerry Goldsmith,1929,2004,"music_department,soundtrack,composer","tt0117731,tt0112715,tt0077269,tt0119488"
nm0000026,Cary Grant,1904,1986,"actor,soundtrack,producer","tt0038787,tt0034248,tt0056923,tt0053125"
nm0000027,Alec Guinness,1914,2000,"actor,soundtrack,writer","tt0050212,tt0076759,tt0051739,tt0041546"
nm0000030,Audrey Hepburn,1929,1993,"actress,soundtrack","tt0058385,tt0046250,tt0054698,tt0056923"
nm0000032,Charlton Heston,1923,2008,"actor,director,soundtrack","tt0070723,tt0052618,tt0049833,tt0067525"
nm0000033,Alfred Hitchcock,1899,1980,"director,producer,writer","tt0056869,tt0054215,tt0053125,tt0052357"
nm0000034,William Holden,1918,1981,"actor,soundtrack,miscellaneous","tt0046359,tt0047437,tt0043014,tt0074958"
nm0000035,James Horner,1953,2015,"music_department,soundtrack,composer","tt0499549,tt0120746,tt0120338,tt0177971"
nm0000036,Buster Keaton,1895,1966,"actor,writer,director","tt0015324,tt0016332,tt0017925,tt0015163"
nm0000037,Gene Kelly,1912,1996,"soundtrack,actor,miscellaneous","tt0041716,tt0045152,tt0053946,tt0043278"
nm0000038,Grace Kelly,1929,1982,"actress,soundtrack,producer","tt0046912,tt0046874,tt0048728,tt0047396"
nm0000040,Stanley Kubrick,1928,1999,"director,writer,producer","tt0062622,tt0072684,tt0093058,tt0066921"
nm0000041,Akira Kurosawa,1910,1998,"writer,director,assistant_director","tt0051808,tt0080979,tt0047478,tt0089881"
nm0000044,Burt Lancaster,1913,1994,"actor,producer,soundtrack","tt0051036,tt0045793,tt0059825,tt0053793"
nm0000046,Vivien Leigh,1913,1967,"actress,soundtrack,writer","tt0034272,tt0031381,tt0033238,tt0044081"
nm0000048,Peter Lorre,1904,1964,"actor,soundtrack,writer","tt0022100,tt0036613,tt0033870,tt0034583"
nm0000049,Henry Mancini,1924,1994,"music_department,soundtrack,composer","tt0057413,tt0383216,tt0054698,tt0085101"
nm0000051,James Mason,1909,1984,"actor,producer,writer","tt0045943,tt0047522,tt0056193,tt0053125"
nm0000052,Marcello Mastroianni,1924,1996,"actor,producer,soundtrack","tt0056801,tt0053779,tt0076085,tt0058335"
nm0000053,Robert Mitchum,1917,1997,"actor,soundtrack,producer","tt0039689,tt0048424,tt0050356,tt0056197"
nm0000054,Marilyn Monroe,1926,1962,"soundtrack,actress,writer","tt0053291,tt0050861,tt0048605,tt0045810"
nm0000055,Alfred Newman,1900,1970,"music_department,composer,soundtrack","tt0042192,tt0049408,tt0056085,tt0065377"
nm0000056,Paul Newman,1925,2008,"actor,producer,director","tt0054997,tt0084855,tt0110684,tt0257044"
nm0000059,Laurence Olivier,1907,1989,"actor,producer,director","tt0074860,tt0077269,tt0032976,tt0069281"
nm0000060,Gregory Peck,1916,2003,"actor,producer,soundtrack","tt0038109,tt0077269,tt0056592,tt0046250"
nm0000061,Tyrone Power,1914,1958,"actor,soundtrack,producer","tt0034405,tt0043959,tt0051201,tt0042256"
nm0000063,Anthony Quinn,1915,2001,"actor,producer,soundtrack","tt0057831,tt0056172,tt0064952,tt0049456"
nm0000064,Edward G. Robinson,1893,1973,"actor,soundtrack,writer","tt0038991,tt0021079,tt0040506,tt0036775"
nm0000065,Nino Rota,1911,1979,"composer,soundtrack,music_department","tt0068646,tt0071562,tt0056801,tt0063518"
nm0000067,Miklós Rózsa,1907,1995,"music_department,composer,soundtrack","tt0037884,tt0036775,tt0038109,tt0052618"
nm0000070,Max Steiner,1888,1971,"music_department,composer,soundtrack","tt0031381,tt0034583,tt0040897,tt0036613"
nm0000071,James Stewart,1908,1997,"actor,soundtrack,director","tt0052561,tt0038650,tt0032904,tt0052357"
nm0000072,Elizabeth Taylor,1932,2011,"actress,soundtrack,producer","tt0061184,tt0056937,tt0051459,tt0053318"
nm0000075,Spencer Tracy,1900,1967,"actor,soundtrack","tt0047849,tt0053946,tt0061735,tt0055031"
nm0000076,François Truffaut,1932,1984,"writer,director,producer","tt0070460,tt0053198,tt0055032,tt0075860"
nm0000077,Franz Waxman,1906,1967,"music_department,composer,soundtrack","tt0034248,tt0032976,tt0043014,tt0026138"
nm0000078,John Wayne,1907,1979,"actor,producer,soundtrack","tt0056217,tt0053580,tt0057298,tt0065126"
nm0000080,Orson Welles,1915,1985,"actor,director,writer","tt0040525,tt0033467,tt0052311,tt0057427"
nm0000084,Gong Li,1965,\N,"actress,producer,miscellaneous","tt0397535,tt0430357,tt0473444,tt0101640"
nm0000092,John Cleese,1939,\N,"actor,writer,producer","tt0085959,tt0095159,tt0063929,tt0071853"
nm0000093,Brad Pitt,1963,\N,"producer,actor,soundtrack","tt0114746,tt0356910,tt0421715,tt1210166"
nm0000095,Woody Allen,1935,\N,"writer,director,actor","tt0079522,tt0118954,tt0091167,tt0075686"
nm0000098,Jennifer Aniston,1969,\N,"actress,producer,soundtrack","tt0108778,tt3442006,tt0279113,tt1723121"
nm0000099,Patricia Arquette,1968,\N,"actress,producer,director","tt1065073,tt0108399,tt0412175,tt0145531"
nm0000101,Dan Aykroyd,1952,\N,"writer,actor,producer","tt0087332,tt0080455,tt0118747,tt0102558"
nm0000102,Kevin Bacon,1958,\N,"actor,producer,soundtrack","tt0087277,tt0361127,tt0327056,tt0164052"
nm0000104,Antonio Banderas,1960,\N,"actor,soundtrack,producer","tt1189073,tt0120746,tt0112851,tt0120657"
nm0000106,Drew Barrymore,1975,\N,"producer,actress,soundtrack","tt0120631,tt0160127,tt0151738,tt0343660"
nm0000107,Kim Basinger,1953,\N,"actress,soundtrack,producer","tt0108525,tt0096895,tt0119488,tt0337921"
nm0000108,Luc Besson,1959,\N,"writer,producer,director","tt0100263,tt0110413,tt0119116,tt2872732"
nm0000110,Kenneth Branagh,1960,\N,"actor,producer,director","tt0107616,tt0097499,tt3402236,tt0116477"
nm0000111,Matthew Broderick,1962,\N,"actor,soundtrack,director","tt0086567,tt0091042,tt0115798,tt0395251"
nm0000112,Pierce Brosnan,1953,\N,"actor,producer,soundtrack","tt0143145,tt0795421,tt0155267,tt0120347"
nm0000113,Sandra Bullock,1964,\N,"producer,actress,soundtrack","tt1454468,tt0111257,tt0212346,tt1041829"
nm0000114,Steve Buscemi,1957,\N,"actor,director,producer","tt0162346,tt0105236,tt0116282,tt4686844"
nm0000115,Nicolas Cage,1964,\N,"actor,producer,soundtrack","tt0113627,tt0117500,tt0119094,tt0435705"
nm0000116,James Cameron,1954,\N,"writer,producer,director","tt0499549,tt0103064,tt0120338,tt1630029"
nm0000118,John Carpenter,1948,\N,"soundtrack,writer,music_department","tt0069945,tt0080749,tt0082340,tt0077651"
nm0000120,Jim Carrey,1962,\N,"actor,writer,soundtrack","tt0110475,tt0338013,tt0120382,tt0109040"
nm0000122,Charles Chaplin,1889,1977,"soundtrack,writer,actor","tt0044837,tt0027977,tt0032553,tt0021749"
nm0000123,George Clooney,1961,\N,"actor,producer,director","tt0433383,tt1193138,tt1124035,tt0465538"
nm0000124,Jennifer Connelly,1970,\N,"actress,producer","tt0268978,tt0102803,tt0315983,tt0180093"
nm0000125,Sean Connery,1930,2020,"actor,producer,soundtrack","tt0091605,tt0117500,tt0094226,tt0055928"
nm0000126,Kevin Costner,1955,\N,"actor,producer,soundtrack","tt0099348,tt0119925,tt0103855,tt0102798"
nm0000128,Russell Crowe,1964,\N,"actor,soundtrack,producer","tt0268978,tt0119488,tt0172495,tt1707386"
nm0000129,Tom Cruise,1962,\N,"actor,producer,soundtrack","tt0117060,tt0325710,tt0092099,tt0116695"
nm0000130,Jamie Lee Curtis,1958,\N,"actress,producer,director","tt6710474,tt0111503,tt1502407,tt0120694"
nm0000134,Robert De Niro,1943,\N,"actor,producer,soundtrack","tt0075314,tt0077416,tt0101540,tt0081398"
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0383574,tt0325980,tt0449088,tt0408236"
nm0000138,Leonardo DiCaprio,1974,\N,"producer,actor,soundtrack","tt0120338,tt0407887,tt0993846,tt1375666"
nm0000139,Cameron Diaz,1972,\N,"actress,producer,soundtrack","tt0259711,tt0119738,tt0160127,tt0129387"
nm0000140,Michael Douglas,1944,\N,"actor,producer,soundtrack","tt0094291,tt0093010,tt0181865,tt1291580"
nm0000142,Clint Eastwood,1930,\N,"actor,producer,director","tt0112579,tt1205489,tt0405159,tt0105695"
nm0000144,Cary Elwes,1962,\N,"actor,producer,soundtrack","tt0387564,tt0093779,tt0107977,tt0119468"
nm0000146,Ralph Fiennes,1962,\N,"actor,director,producer","tt1372686,tt0108052,tt2278388,tt0387131"
nm0000147,Colin Firth,1960,\N,"actor,producer,soundtrack","tt0243155,tt1315981,tt2802144,tt1504320"
nm0000148,Harrison Ford,1942,\N,"actor,writer,producer","tt0082971,tt0076759,tt0090329,tt0106977"
nm0000149,Jodie Foster,1962,\N,"actress,director,producer","tt0094608,tt0102926,tt0476964,tt0075314"
nm0000150,Michael J. Fox,1961,\N,"actor,producer,miscellaneous","tt0096874,tt0116365,tt0115369,tt0088763"
nm0000151,Morgan Freeman,1937,\N,"actor,producer,soundtrack","tt1057500,tt0114369,tt0097239,tt0405159"
nm0000152,Richard Gere,1949,\N,"actor,soundtrack,producer","tt0084434,tt0119395,tt0299658,tt0100405"
nm0000154,Mel Gibson,1956,\N,"actor,producer,director","tt0118883,tt0117438,tt0112573,tt0104714"
nm0000155,Whoopi Goldberg,1955,\N,"actress,producer,writer","tt0108147,tt0099653,tt0088939,tt0105417"
nm0000156,Jeff Goldblum,1952,\N,"actor,soundtrack,producer","tt0116629,tt0107290,tt0091064,tt2278388"
nm0000157,Linda Hamilton,1956,\N,"actress,soundtrack","tt0088247,tt6450804,tt0118928,tt0103064"
nm0000158,Tom Hanks,1956,\N,"producer,actor,soundtrack","tt0162222,tt0120815,tt0109830,tt0094737"
nm0000160,Ethan Hawke,1970,\N,"actor,producer,writer","tt2209418,tt0112471,tt0381681,tt0139654"
nm0000161,Salma Hayek,1966,\N,"actress,producer,soundtrack","tt0120891,tt1615065,tt0120679,tt0112851"
nm0000163,Dustin Hoffman,1937,\N,"actor,soundtrack,producer","tt0084805,tt0079417,tt0064665,tt0095953"
nm0000164,Anthony Hopkins,1937,\N,"actor,soundtrack,composer","tt0102926,tt0113987,tt0212985,tt0975645"
nm0000165,Ron Howard,1954,\N,"producer,actor,writer","tt0367279,tt0268978,tt0112384,tt0069704"
nm0000168,Samuel L. Jackson,1948,\N,"actor,producer,soundtrack","tt3460252,tt0417148,tt0110912,tt4154664"
nm0000169,Tommy Lee Jones,1946,\N,"actor,director,soundtrack","tt0106977,tt0443272,tt2398231,tt0477348"
nm0000172,Harvey Keitel,1939,\N,"actor,producer,soundtrack","tt0105236,tt0110912,tt0103759,tt2278388"
nm0000173,Nicole Kidman,1967,\N,"actress,producer,soundtrack","tt0159365,tt0935075,tt0203009,tt0274558"
nm0000174,Val Kilmer,1959,\N,"actor,soundtrack,producer","tt0373469,tt0101761,tt0235737,tt0120053"
nm0000175,Stephen King,1947,\N,"writer,producer,actor","tt0083767,tt0324864,tt0091499,tt0111161"
nm0000176,Nastassja Kinski,1961,\N,"actress,producer,soundtrack","tt0087884,tt0111400,tt0080009,tt0083722"
nm0000177,Kevin Kline,1947,\N,"actor,soundtrack,director","tt0120891,tt0113117,tt0106673,tt0095159"
nm0000178,Diane Lane,1965,\N,"actress,soundtrack","tt2096673,tt0250797,tt0328589,tt0086066"
nm0000179,Jude Law,1972,\N,"actor,producer,soundtrack","tt0376541,tt0346156,tt2278388,tt0134119"
nm0000180,David Lean,1908,1991,"editor,director,writer","tt0059113,tt0050212,tt0087892,tt0056172"
nm0000184,George Lucas,1944,\N,"writer,producer,director","tt0066434,tt0082971,tt0076759,tt0069704"
nm0000185,Dolph Lundgren,1957,\N,"actor,producer,director","tt0089927,tt0093507,tt0105698,tt0113481"
nm0000186,David Lynch,1946,\N,"writer,director,producer","tt0166924,tt0460829,tt0098936,tt0105665"
nm0000190,Matthew McConaughey,1969,\N,"actor,producer,soundtrack","tt1915581,tt0790636,tt0816692,tt1935179"
nm0000191,Ewan McGregor,1971,\N,"actor,producer,writer","tt0203009,tt1322269,tt2763304,tt0117951"
nm0000194,Julianne Moore,1960,\N,"actress,producer,soundtrack","tt0175880,tt0297884,tt0842926,tt0118749"
nm0000195,Bill Murray,1950,\N,"actor,soundtrack,writer","tt0362270,tt1748122,tt0335266,tt0128445"
nm0000196,Mike Myers,1963,\N,"actor,writer,soundtrack","tt0118655,tt0145660,tt0295178,tt0811138"
nm0000197,Jack Nicholson,1937,\N,"actor,soundtrack,producer","tt0407887,tt0071315,tt0119822,tt0073486"
nm0000198,Gary Oldman,1958,\N,"actor,producer,soundtrack","tt1340800,tt0468569,tt0103874,tt4555426"
nm0000199,Al Pacino,1940,\N,"actor,director,soundtrack","tt0099422,tt0068646,tt0070666,tt0072890"
nm0000200,Bill Paxton,1955,2017,"actor,producer,writer","tt0112384,tt0264616,tt0117998,tt0090605"
nm0000201,Michelle Pfeiffer,1958,\N,"actress,soundtrack,producer","tt0161081,tt0106226,tt0427327,tt0117247"
nm0000202,Ryan Phillippe,1974,\N,"actor,producer,director","tt0280707,tt0139134,tt0120577,tt0375679"
nm0000203,River Phoenix,1970,1993,"actor,soundtrack","tt0091557,tt0092005,tt0102494,tt0096018"
nm0000204,Natalie Portman,1981,\N,"actress,producer,soundtrack","tt0434409,tt0376541,tt0110413,tt0947798"
nm0000206,Keanu Reeves,1964,\N,"actor,producer,soundtrack","tt0102685,tt0133093,tt0111257,tt0234215"
nm0000209,Tim Robbins,1958,\N,"actor,producer,director","tt0105151,tt0112818,tt0327056,tt0091225"
nm0000210,Julia Roberts,1967,\N,"actress,producer,soundtrack","tt0195685,tt0119738,tt0100405,tt0376541"
nm0000211,Mimi Rogers,1956,\N,"actress,producer,soundtrack","tt0118655,tt0120738,tt0210070,tt0488085"
nm0000213,Winona Ryder,1971,\N,"actress,producer,soundtrack","tt0172493,tt0110367,tt0099487,tt0100140"
nm0000216,Arnold Schwarzenegger,1947,\N,"actor,producer,director","tt0216216,tt0088247,tt0103064,tt0107362"
nm0000217,Martin Scorsese,1942,\N,"producer,director,actor","tt0099685,tt0490215,tt0070379,tt0075314"
nm0000218,Kristin Scott Thomas,1960,\N,"actress,soundtrack,director","tt1602613,tt0109831,tt0116209,tt0280707"
nm0000221,Charlie Sheen,1965,\N,"actor,producer,soundtrack","tt0369179,tt0108333,tt0107144,tt0094291"
nm0000225,Christian Slater,1969,\N,"actor,producer,soundtrack","tt0124198,tt0102798,tt0108399,tt0115759"
nm0000226,Will Smith,1968,\N,"producer,actor,soundtrack","tt0116629,tt0119654,tt0098800,tt0480249"
nm0000228,Kevin Spacey,1959,\N,"actor,producer,soundtrack","tt0114814,tt0114369,tt0169547,tt0119488"
nm0000229,Steven Spielberg,1946,\N,"producer,writer,director","tt0120815,tt0083866,tt0108052,tt0082971"
nm0000230,Sylvester Stallone,1946,\N,"actor,writer,producer","tt0075148,tt0084602,tt0089927,tt3076658"
nm0000231,Oliver Stone,1946,\N,"director,producer,writer","tt0102138,tt0091763,tt0096969,tt0110632"
nm0000232,Sharon Stone,1958,\N,"actress,producer,soundtrack","tt0103772,tt0108162,tt0112641,tt0114214"
nm0000233,Quentin Tarantino,1963,\N,"writer,actor,producer","tt0116367,tt0105236,tt0110912,tt7131622"
nm0000234,Charlize Theron,1975,\N,"producer,actress,soundtrack","tt0340855,tt1392190,tt5610554,tt1735898"
nm0000235,Uma Thurman,1970,\N,"actress,producer,soundtrack","tt0378194,tt0110912,tt0118688,tt0266697"
nm0000237,John Travolta,1954,\N,"actor,soundtrack,producer","tt0077631,tt0110912,tt0113161,tt0076666"
nm0000241,Jean-Claude Van Damme,1960,\N,"actor,writer,producer","tt1130988,tt0097659,tt0101764,tt0119013"
nm0000242,Mark Wahlberg,1971,\N,"producer,actor,soundtrack","tt0964517,tt0407887,tt0118749,tt1637725"
nm0000243,Denzel Washington,1954,\N,"actor,producer,director","tt0168786,tt0139654,tt2671706,tt1037705"
nm0000244,Sigourney Weaver,1949,\N,"actress,soundtrack,producer","tt0095243,tt0078748,tt0118583,tt0499549"
nm0000245,Robin Williams,1951,2014,"actor,soundtrack,writer","tt0107614,tt0093105,tt0119217,tt0265459"
nm0000246,Bruce Willis,1955,\N,"actor,producer,soundtrack","tt0110912,tt0167404,tt0095016,tt0088571"
nm0000249,James Woods,1947,\N,"actor,producer,director","tt0119282,tt0086541,tt0159097,tt0120877"
nm0000250,Renée Zellweger,1969,\N,"actress,producer,soundtrack","tt0116695,tt0299658,tt0159365,tt0243155"
nm0000251,Timothy Dowling,1973,\N,"actor,writer,script_department","tt0181852,tt2120120,tt1596350,tt0430922"
nm0000255,Ben Affleck,1972,\N,"producer,actor,writer","tt0119217,tt1024648,tt2267998,tt0840361"
nm0000257,Alan Alda,1936,\N,"actor,miscellaneous,soundtrack","tt0082405,tt0097123,tt7653254,tt0068098"
nm0000260,Joan Allen,1956,\N,"actress,producer,soundtrack","tt0452608,tt0115988,tt0113987,tt3170832"
nm0000261,Karen Allen,1951,\N,"actress,soundtrack,director","tt0077975,tt0082971,tt0088172,tt0367882"
nm0000264,Pedro Almodóvar,1949,\N,"writer,director,soundtrack","tt0095675,tt0101026,tt0287467,tt1189073"
nm0000267,Julie Andrews,1935,\N,"actress,soundtrack,writer","tt0062362,tt0059742,tt0084865,tt0058331"
nm0000270,Gabrielle Anwar,1970,\N,"actress,producer,soundtrack","tt0108333,tt0105323,tt0810788,tt0114660"
nm0000273,Alan Arkin,1934,2023,"actor,soundtrack,director","tt0449059,tt0104348,tt0099487,tt1024648"
nm0000277,Richard Attenborough,1923,2014,"actor,producer,director","tt0083987,tt0107290,tt0060934,tt0057115"
nm0000284,Adam Baldwin,1962,\N,"actor,soundtrack","tt0187393,tt0093058,tt0379786,tt0116629"
nm0000285,Alec Baldwin,1958,\N,"actor,producer,soundtrack","tt0407887,tt1230414,tt0318374,tt0104348"
nm0000286,Stephen Baldwin,1966,\N,"actor,producer,director","tt0114814,tt0486583,tt0115683,tt0158622"
nm0000288,Christian Bale,1974,\N,"actor,producer,soundtrack","tt0144084,tt0372784,tt0468569,tt1800241"
nm0000290,John Barry,1933,2011,"music_department,soundtrack,composer","tt0093428,tt0089755,tt0081534,tt0099348"
nm0000291,Angela Bassett,1958,\N,"actress,producer,director","tt1825683,tt9114286,tt0118884,tt0114558"
nm0000293,Sean Bean,1959,\N,"actor,producer,animation_department","tt0944947,tt1181791,tt0167261,tt0120737"
nm0000295,Kate Beckinsale,1973,\N,"actress,producer,soundtrack","tt0338526,tt0401855,tt0320691,tt0452702"
nm0000297,Tom Berenger,1949,\N,"actor,producer,writer","tt0097815,tt0091763,tt1375666,tt0085244"
nm0000299,Michael Biehn,1956,\N,"actor,producer,director","tt1077258,tt0088247,tt0090605,tt0096754"
nm0000300,Juliette Binoche,1964,\N,"actress,art_department,miscellaneous","tt1219827,tt0116209,tt2452254,tt1020773"
nm0000301,Thora Birch,1982,\N,"actress,producer,director","tt0105112,tt0169547,tt0107120,tt0162346"
nm0000304,Linda Blair,1959,\N,"actress,soundtrack,producer","tt0070047,tt0079822,tt0082511,tt0088044"
nm0000307,Helena Bonham Carter,1966,\N,"actress,soundtrack,director","tt1707386,tt1504320,tt0408236,tt0137523"
nm0000310,Bruce Boxleitner,1950,\N,"actor,soundtrack,producer","tt1104001,tt0871427,tt0084827,tt0105946"
