tconst,ordering,nconst,category,job,characters
tt0010323,10,nm0110640,composer,\N,\N
tt0010323,1,nm0470328,actor,\N,"[""Dr. Caligari""]"
tt0010323,2,nm0891998,actor,\N,"[""Cesare""]"
tt0010323,3,nm0270415,actor,\N,"[""Franzis""]"
tt0010323,4,nm0196820,actress,\N,"[""Jane Olsen""]"
tt0010323,5,nm0927468,director,\N,\N
tt0010323,6,nm0562346,writer,written by,\N
tt0010323,7,nm0417917,writer,written by,\N
tt0010323,8,nm0031350,composer,\N,\N
tt0010323,9,nm0005959,composer,\N,\N
tt0012349,10,nm0088471,actor,\N,"[""His Assistant""]"
tt0012349,1,nm0000122,actor,\N,"[""A Tramp""]"
tt0012349,2,nm0701012,actress,\N,"[""The Woman""]"
tt0012349,3,nm0001067,actor,\N,"[""The Child""]"
tt0012349,4,nm0588033,actor,\N,"[""The Man""]"
tt0012349,5,nm0042317,actor,\N,"[""Car Thief"",""Man in Shelter""]"
tt0012349,6,nm0047800,actress,\N,"[""Bride""]"
tt0012349,7,nm0048798,actress,\N,"[""Slum Nurse""]"
tt0012349,8,nm0074788,actor,\N,"[""Professor Guido"",""Night Shelter Keeper""]"
tt0012349,9,nm0080930,actor,\N,"[""Orphan Asylum Driver""]"
tt0013442,10,nm0002302,composer,\N,\N
tt0013442,1,nm0775180,actor,\N,"[""Graf Orlok""]"
tt0013442,2,nm0334603,actor,\N,"[""Knock - ein Häusermakler""]"
tt0013442,3,nm0903194,actor,\N,"[""Hutter""]"
tt0013442,4,nm0775659,actress,\N,"[""Ellen - seine Frau""]"
tt0013442,5,nm0003638,director,\N,\N
tt0013442,6,nm0301961,writer,screen play,\N
tt0013442,7,nm0831290,writer,"based on the novel: ""Dracula""",\N
tt0013442,8,nm0225868,producer,producer,\N
tt0013442,9,nm0336057,producer,producer,\N
tt0015324,10,nm0396327,cinematographer,\N,\N
tt0015324,1,nm0000036,actor,\N,"[""Projectionist"",""Sherlock, Jr.""]"
tt0015324,2,nm0570230,actress,\N,"[""The Girl""]"
tt0015324,3,nm0444172,actor,\N,"[""The Girl's Father"",""Man on Film Screen""]"
tt0015324,4,nm0175068,actor,\N,"[""The Hired Man"",""The Butler""]"
tt0015324,5,nm0369841,writer,story,\N
tt0015324,6,nm0593477,writer,story,\N
tt0015324,7,nm0115669,writer,story,\N
tt0015324,8,nm0004592,composer,\N,\N
tt0015324,9,nm3816287,composer,\N,\N
tt0015864,10,nm1027682,actor,\N,"[""Eskimo Child""]"
tt0015864,1,nm0000122,actor,\N,"[""The Lone Prospector""]"
tt0015864,2,nm0841501,actor,\N,"[""Big Jim McKay""]"
tt0015864,3,nm0615306,actor,\N,"[""Black Larsen""]"
tt0015864,4,nm0074788,actor,\N,"[""Hank Curtis""]"
tt0015864,5,nm0675356,composer,\N,\N
tt0015864,6,nm0005906,cinematographer,\N,\N
tt0015864,7,nm0906618,actor,\N,"[""Jack Cameron""]"
tt0015864,8,nm0354913,actress,\N,"[""Georgia""]"
tt0015864,9,nm1033900,actor,\N,"[""Man in Dance Hall""]"
tt0017136,10,nm2111404,composer,\N,\N
tt0017136,1,nm0375609,actress,\N,"[""Maria"",""Maschinenmensch"",""The Machine Man""]"
tt0017136,2,nm0002154,actor,\N,"[""Johann (Joh) Fredersen""]"
tt0017136,3,nm0297054,actor,\N,"[""Freder Fredersen - Joh Fredersens Sohn""]"
