tconst,averageRating,numVotes
tt0010323,8.0,68328
tt0012349,8.2,132092
tt0013442,7.9,103056
tt0015324,8.2,54640
tt0015864,8.1,116287
tt0017136,8.3,181651
tt0017925,8.1,96062
tt0018455,8.1,53047
tt0018773,8.1,35394
tt0019254,8.1,58927
tt0020629,8.1,66442
tt0021749,8.5,192216
tt0022100,8.3,165063
tt0025316,8.1,109532
tt0027977,8.5,253834
tt0028950,8.1,38233
tt0031381,8.2,327830
tt0031679,8.1,119451
tt0032138,8.1,418594
tt0032551,8.1,98071
tt0032553,8.4,233059
tt0032976,8.1,143672
tt0033045,8.0,36435
tt0033467,8.3,457974
tt0033870,8.0,164216
tt0034583,8.5,594323
tt0035446,8.2,41280
tt0036775,8.3,163991
tt0036868,8.1,68708
tt0037558,8.0,42952
tt0038650,8.6,481304
tt0038890,8.0,28256
tt0039689,8.0,39858
tt0040522,8.3,171208
tt0040725,8.1,37848
tt0040897,8.2,130214
tt0041546,8.0,39062
tt0041959,8.1,178427
tt0042041,8.1,34963
tt0042192,8.2,136308
tt0042876,8.2,176446
tt0043014,8.4,231513
tt0043338,8.1,38312
tt0044706,8.0,108458
tt0044741,8.3,84610
tt0045152,8.3,254492
tt0045274,8.2,27469
tt0046250,8.0,144821
tt0046268,8.2,64796
tt0046359,8.0,57734
tt0046438,8.1,66248
tt0046911,8.1,68366
tt0046912,8.2,184626
tt0047296,8.1,161352
tt0047396,8.5,511430
tt0047478,8.6,359617
tt0047528,8.0,65643
tt0048021,8.1,36196
tt0048424,8.0,95075
tt0048473,8.2,36634
tt0050083,9.0,838376
tt0050212,8.1,229465
tt0050613,8.1,54772
tt0050783,8.1,51172
tt0050825,8.4,207342
tt0050976,8.1,194130
tt0050986,8.1,112439
tt0051036,8.0,34734
tt0051201,8.4,133370
tt0051808,8.1,41306
tt0052311,8.0,108239
tt0052357,8.3,418479
tt0052561,8.0,69709
tt0052618,8.1,248938
tt0053125,8.3,339958
tt0053198,8.1,125042
tt0053221,8.0,66609
tt0053291,8.2,278098
tt0053604,8.3,191263
tt0053779,8.0,76732
tt0053946,8.1,32081
tt0053976,8.0,30973
tt0054215,8.5,703248
tt0054997,8.0,85458
tt0055031,8.3,82441
tt0055601,8.1,25685
tt0055630,8.2,128543
tt0056058,8.6,64669
tt0056111,8.0,38921
tt0056172,8.3,307115
tt0056217,8.1,80490
tt0056443,8.0,40256
tt0056592,8.3,327386
tt0056687,8.0,60250
tt0056732,8.0,34861
tt0056801,8.0,123066
tt0057012,8.4,508625
tt0057115,8.2,254078
tt0057358,8.0,26469
tt0057565,8.4,50360
tt0058946,8.1,64018
tt0059578,8.2,268371
tt0059742,8.1,250853
tt0060107,8.1,56016
tt0060196,8.8,793171
tt0060827,8.1,127570
tt0061184,8.0,78650
tt0061512,8.1,185298
tt0061722,8.0,284295
tt0062229,8.0,55060
tt0062622,8.3,702115
tt0063442,8.0,188395
tt0063522,8.0,229604
tt0064115,8.0,223563
tt0064116,8.5,342981
tt0065234,8.2,30657
tt0066763,8.1,34843
tt0066921,8.3,863751
tt0067093,8.0,46336
tt0067328,8.0,51226
tt0068646,9.2,1961487
tt0069281,8.0,49454
tt0069293,8.0,96181
tt0069467,8.0,36157
tt0070047,8.1,442453
tt0070510,8.1,51012
tt0070511,8.0,136195
tt0070735,8.3,273912
tt0071315,8.2,341673
tt0071411,8.2,32635
tt0071562,9.0,1331746
tt0071853,8.2,560553
tt0072417,8.1,27727
tt0072431,8.0,166089
tt0072443,8.0,50580
tt0072684,8.1,178107
tt0072890,8.0,268652
tt0073195,8.1,643869
tt0073486,8.7,1048377
tt0073707,8.1,57892
tt0074896,8.1,49836
tt0074958,8.1,166506
tt0075148,8.1,612973
tt0075314,8.2,891926
tt0075686,8.0,273650
tt0076759,8.6,1419925
tt0077416,8.1,354186
tt0077711,8.1,36805
tt0078748,8.5,925147
tt0078788,8.4,695155
tt0079470,8.0,416189
tt0079944,8.1,141157
tt0080455,7.9,209353
tt0080678,8.2,253069
tt0080684,8.7,1348651
tt0081398,8.1,371283
tt0081505,8.4,1078421
tt0082096,8.4,259847
tt0082971,8.4,1017145
tt0083658,8.1,804170
tt0083866,7.9,428498
tt0083922,8.1,66260
tt0083946,8.0,37461
tt0083987,8.0,237943
tt0084503,8.0,84068
tt0084787,8.2,452138
tt0086190,8.3,1098193
tt0086250,8.3,890388
tt0086879,8.4,419105
tt0087544,8.0,177530
tt0087843,8.3,368809
tt0087884,8.1,114087
tt0088247,8.1,904224
tt0088763,8.5,1270979
tt0089881,8.2,132697
tt0090605,8.4,746676
tt0091251,8.4,91211
tt0091288,8.1,27049
tt0091763,8.1,430229
tt0092005,8.1,429475
tt0092067,8.0,176041
tt0092593,8.0,35526
tt0093058,8.3,773639
tt0093779,8.0,442571
tt0094625,8.0,198857
tt0095016,8.2,916277
tt0095327,8.5,298123
tt0095765,8.5,275506
tt0095953,8.0,535749
tt0096283,8.1,364444
tt0097165,8.1,525929
tt0097216,8.0,109527
tt0097223,8.1,32133
tt0097576,8.2,794947
tt0099348,8.0,283045
tt0099487,7.9,512820
tt0099685,8.7,1222388
tt0101414,8.0,471944
tt0101640,8.1,34561
tt0102138,8.0,165964
tt0102926,8.6,1504269
tt0103064,8.6,1147357
tt0103639,8.0,451792
tt0105236,8.3,1064390
tt0105323,8.0,319345
tt0105695,8.2,427972
tt0106332,8.1,31962
tt0107048,8.0,665832
tt0107207,8.1,183386
tt0107290,8.2,1040048
tt0107688,7.9,363323
tt0108052,9.0,1414799
tt0108399,7.9,237636
tt0109117,8.0,54688
tt0109424,8.0,91582
tt0109830,8.8,2191611
tt0110357,8.5,1112109
tt0110413,8.5,1215238
tt0110912,8.9,2158425
tt0111161,9.3,2814439
tt0111495,8.1,108021
tt0112471,8.1,329648
tt0112573,8.3,1072352
tt0112641,8.2,548800
tt0112870,8.0,74881
tt0113247,8.1,188944
tt0113277,8.3,697603
tt0114369,8.6,1744904
tt0114709,8.3,1042922
tt0114746,8.0,637168
tt0114787,8.1,60331
tt0114814,8.5,1123618
tt0116231,8.1,71474
tt0116282,8.1,706196
tt0117589,8.0,46138
tt0117666,8.0,97334
tt0117951,8.1,712387
tt0118694,8.1,161504
tt0118715,8.1,841996
tt0118749,7.9,277000
tt0118799,8.6,726226
tt0118843,8.0,55665
tt0118849,8.2,78679
tt0119217,8.3,1028523
tt0119488,8.2,603790
tt0119698,8.3,418480
tt0120338,7.9,1251577
tt0120382,8.2,1154218
tt0120586,8.5,1163480
tt0120689,8.6,1368816
tt0120731,8.0,67897
tt0120735,8.1,605007
tt0120737,8.8,1954624
tt0120815,8.6,1457944
tt0126029,7.9,714467
tt0129167,8.1,217919
tt0133093,8.7,2000974
tt0137523,8.8,2249283
tt0140888,8.0,41500
tt0154420,8.1,91796
tt0156887,8.0,89149
tt0166896,8.0,95094
tt0166924,7.9,374814
tt0167260,9.0,1927176
tt0167261,8.8,1738158
tt0167404,8.2,1029334
tt0169102,8.1,118566
tt0169547,8.3,1190465
tt0169858,8.1,61139
tt0172495,8.5,1572220
tt0175880,8.0,323742
tt0180093,8.3,879128
tt0181875,7.9,288236
tt0198781,8.1,954501
tt0200087,8.1,26501
tt0206634,7.9,519838
tt0208092,8.2,890166
tt0209144,8.4,1293322
tt0211915,8.3,781063
tt0242519,8.1,70936
tt0244316,8.1,27284
tt0245429,8.6,816034
tt0245712,8.1,249315
tt0246578,8.0,833750
tt0253474,8.5,883992
tt0263438,8.1,26914
tt0264464,8.1,1055951
tt0266543,8.2,1088498
tt0266697,8.2,1164281
tt0268978,8.2,967041
tt0270053,8.0,38125
tt0276919,8.0,155724
tt0292490,8.1,74734
tt0293715,8.0,49859
tt0304141,7.9,670923
tt0317248,8.6,785001
tt0317705,8.0,783877
tt0319061,8.0,452960
tt0325980,8.1,1180359
tt0338013,8.3,1051257
tt0338564,8.0,129322
tt0347149,8.2,428010
tt0352248,8.0,194964
tt0353969,8.1,205565
tt0359950,7.3,331807
tt0361748,8.4,1534699
tt0363163,8.2,368414
tt0364569,8.4,615234
tt0365748,7.9,582060
tt0367110,8.2,95772
tt0369610,6.9,667887
tt0369702,8.0,84273
tt0371746,7.9,1101930
tt0372784,8.2,1541748
tt0374546,8.0,85707
tt0374887,8.1,86305
tt0375611,8.1,35684
tt0378194,8.0,788089
tt0381061,8.0,681592
tt0381681,8.1,280762
tt0382932,8.1,794107
tt0384116,8.0,65597
tt0386064,8.0,40708
tt0395169,8.1,366880
tt0398286,7.7,480723
tt0401383,8.0,109638
tt0401729,6.6,282300
tt0401792,8.0,786155
tt0405094,8.4,402928
tt0405159,8.1,709821
tt0405508,8.1,121398
tt0407887,8.5,1387714
tt0408664,8.0,30229
tt0409847,6.0,228877
tt0429493,6.7,266199
tt0432283,7.9,259418
tt0433035,7.1,347884
tt0434409,8.2,1158650
tt0435761,8.3,873672
tt0437086,7.3,286067
tt0440963,8.0,650815
tt0443272,7.3,268754
tt0446029,7.5,451663
tt0448115,7.0,374755
tt0450259,8.0,574418
tt0451279,7.4,686744
tt0454876,7.9,654964
tt0454921,8.0,545495
tt0455944,7.2,403647
tt0456144,8.0,48822
tt0457430,8.2,691388
tt0458339,6.9,879743
tt0468569,9.0,2796107
tt0469494,8.2,623103
tt0470752,7.7,571898
tt0473075,6.6,299790
tt0476735,8.2,90287
tt0477080,6.8,204849
tt0477348,8.2,1029317
tt0478970,7.3,706736
tt0481499,7.2,227050
tt0482571,8.5,1404194
tt0499549,7.9,1364037
tt0758752,6.7,217305
tt0758758,8.1,645727
tt0770828,7.1,799276
tt0780504,7.8,685664
tt0780536,7.9,452487
tt0790636,7.9,509345
tt0790724,7.0,357123
tt0796366,7.9,615224
tt0800320,5.8,289717
tt0800369,7.0,884189
tt0803096,6.7,274222
tt0808417,8.0,98494
tt0816692,8.7,2006196
tt0816711,7.0,702391
tt0829150,6.2,204288
tt0831387,6.4,429281
tt0837562,7.0,273426
tt0840361,7.5,407820
tt0848228,8.0,1437527
tt0861739,8.0,108231
tt0870154,6.6,206171
tt0871510,8.1,83502
tt0892769,8.1,779573
tt0892791,6.3,219359
tt0903624,7.8,856064
tt0910970,8.4,1170188
tt0926084,7.7,581467
tt0944835,6.4,325727
tt0945513,7.5,539719
tt0947798,8.0,804041
tt0948470,6.9,686910
tt0955308,6.6,278789
tt0964517,7.8,382877
tt0970179,7.5,332606
tt0974015,6.1,471041
tt0978762,8.1,183727
tt0978764,6.0,248940
tt0983193,7.3,239727
tt0985694,6.6,202177
tt0986264,8.3,202419
tt0993842,6.8,204882
tt0993846,8.2,1522161
tt1001526,7.3,285218
tt1010048,8.0,867136
tt1013743,6.3,206738
tt1014759,6.4,432702
tt1016150,7.8,225921
tt10189514,8.7,121435
tt1024648,7.7,631138
tt10272386,8.2,179757
tt10280296,8.4,45495
tt1028532,8.1,302572
tt10295212,8.3,126935
tt10324144,8.1,35904
tt1033575,7.3,247626
tt10366206,7.7,292290
tt10366460,8.0,154770
tt1037705,6.8,332870
tt10431500,8.2,53480
tt1045658,7.7,731090
tt1049413,8.3,1096204
tt1051906,7.1,246214
tt10648342,6.2,381787
tt1065073,7.9,363517
tt1069238,8.0,54167
tt10698680,8.3,143938
tt1074638,7.8,719435
tt1077368,6.2,276621
tt10811166,8.6,571940
tt10838180,5.7,270419
tt10872600,8.2,839801
tt1091191,7.5,300584
tt1092026,6.9,262682
tt10954600,6.1,209240
tt10954984,6.8,248122
tt11032374,8.2,68694
tt1104001,6.8,350167
tt11083552,7.1,198330
tt11138512,7.0,238484
tt1120985,7.3,207294
tt1124035,7.1,228200
tt11286314,7.2,575089
tt1130884,8.2,1405654
tt1133985,5.5,292587
tt1155076,6.2,199545
tt11564570,7.1,415225
tt1160419,8.0,723534
tt1170358,7.8,690212
tt1171701,8.0,34724
tt1179933,7.2,346696
tt11813216,7.7,230865
tt11866324,7.1,216780
tt1187043,8.4,420568
tt1189340,7.3,249614
tt1192628,7.2,286154
tt1194173,6.6,311894
tt1201607,8.1,922467
tt1205489,8.1,801147
tt1210166,7.6,451924
tt1210819,6.4,241773
tt1211837,7.5,784152
tt1211956,6.7,253724
tt1212450,7.2,250234
tt1213641,7.3,197968
tt1213663,6.9,293890
tt1216475,6.2,208979
tt1217209,7.1,431963
tt1219289,7.4,599961
tt1219827,6.3,224165
tt1220719,8.0,230995
tt1228705,6.9,851761
tt1229238,7.4,519348
tt1231583,6.5,353935
tt1232829,7.2,586148
tt1234721,6.1,236396
tt12361178,8.4,39905
tt12361974,7.9,426278
tt1243957,6.0,252706
tt1245492,6.6,428409
tt1245526,7.0,319455
tt1250777,7.6,583784
tt1253863,6.2,311618
tt1255953,8.3,190821
tt12593682,7.3,391111
tt1259521,7.0,440876
tt1270797,6.6,521752
tt1270798,7.7,713296
tt1272878,6.7,221882
tt1276104,7.4,594016
tt1280558,8.1,81067
tt1282140,7.0,408714
tt1284575,5.6,209919
tt1285016,7.8,739326
tt1289401,6.8,240674
tt1291150,5.8,217653
tt1291584,8.1,489351
tt1298650,6.6,551965
tt1300854,7.1,883638
tt1302006,7.8,416831
tt1302011,7.2,306889
tt1305806,8.2,218154
tt1306980,7.6,339780
tt1318514,7.6,547735
tt1320253,6.4,359894
tt1321870,6.7,220754
tt1323594,7.6,570793
tt13238346,8.0,37082
tt1324999,4.9,250043
tt1325004,5.1,256065
tt1340138,6.3,288782
tt1340800,7.0,209289
tt1343092,7.2,579526
tt1343727,7.1,288544
tt1345836,8.4,1784605
tt1355644,7.0,432491
tt1365519,6.3,223016
tt1371111,7.4,370408
tt1375666,8.8,2481710
tt1375670,6.0,267406
tt1385826,7.0,266437
tt1386588,6.6,282254
tt1386697,5.9,710341
tt1386703,6.2,262982
tt1392170,7.2,965844
tt1392190,8.1,1054026
tt1392214,8.1,777198
tt1396484,7.3,587712
tt1397280,6.2,317769
tt1398426,7.8,213440
tt1399103,6.2,426297
tt1401152,6.8,267351
tt1403865,7.6,352051
tt1408101,7.7,493230
tt1409024,6.8,379973
tt1411238,6.2,240429
tt1411697,6.5,523694
tt1424381,6.4,240211
tt1428538,6.1,213931
tt1430132,6.7,484448
tt1431045,8.0,1093610
tt1436562,6.9,242463
tt1440129,5.8,254710
tt1446714,7.0,630907
tt1453405,7.2,380082
tt1454029,8.1,481807
tt1454468,7.7,850500
tt1457767,7.5,541589
tt1458175,7.3,203084
tt1464335,6.3,240052
tt1464540,6.1,243877
tt1469304,5.5,197518
tt1477834,6.8,504167
tt1478338,6.8,304607
tt1483013,7.0,544619
tt1485796,7.5,301288
tt1489889,6.3,206549
tt1490017,7.7,379887
tt1499658,6.9,463442
tt1504320,8.0,699307
tt15097216,8.8,211743
tt1515091,7.4,472867
tt1517268,7.0,371504
tt1517451,7.6,407419
tt15327088,8.2,98849
tt1535108,6.6,463915
tt1535109,7.8,482833
tt15398776,8.5,471503
tt1542344,7.5,393577
tt15501640,8.2,41075
tt1555149,8.0,85626
tt1562872,8.2,83575
tt1564367,6.4,259306
tt1568346,7.8,483366
tt1570728,7.4,548326
tt1587310,6.9,393390
tt1588173,6.8,239747
tt1591095,6.8,332055
tt1596343,7.3,400154
tt1596363,7.8,467498
tt1598778,6.8,311828
tt1599348,6.7,231982
tt1601913,6.7,259969
tt1605630,6.7,221368
tt1605783,7.6,442510
tt1606378,5.2,212608
tt1606389,6.8,201304
tt1620933,8.2,37448
tt1623205,6.3,212601
tt1630029,7.6,465763
tt1631867,7.9,717170
tt1632708,6.5,387065
tt1636826,6.6,226490
tt1637688,6.7,435282
tt1637725,6.9,641318
tt1638355,7.2,325849
tt1639426,8.1,46399
tt1645170,6.4,326264
tt1646971,7.8,355086
tt1649418,6.5,227189
tt1649419,7.5,235726
tt1650062,7.0,363941
tt1650554,6.5,283995
tt1655442,7.9,246571
tt1659337,7.9,536871
tt1663202,8.0,848626
tt1663662,6.9,521033
tt1667889,6.5,219911
tt1670345,7.2,691484
tt1673434,5.5,258461
tt1675434,8.5,903584
tt1677720,7.4,467496
tt1690953,7.3,417266
tt1700841,6.1,205543
tt1706593,7.0,259930
tt1706620,7.1,379826
tt1707386,7.5,340943
tt1723121,7.0,475930
tt1723811,7.2,203020
tt1727824,7.9,572217
tt1731141,6.6,250148
tt1735898,6.1,298711
tt1745960,8.3,638086
tt1748122,7.8,362598
tt1764651,6.6,318501
tt1772341,7.7,447173
tt1790809,6.5,334640
tt1790864,6.8,494666
tt1790885,7.4,313593
tt1798684,7.3,252279
